stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
17250,17250,"N 56th St & Keystone Pl N (WB)",,47.668675,-122.332842,21,0
55350,55350,"59th Ave S & S Augusta St (SB)",,47.500209,-122.259562,12,0
55360,55360,"59th Ave S & S 118th St (SB)",,47.498233,-122.259602,12,0
55370,55370,"59th Ave S & S Wallace St (SB)",,47.497335,-122.259622,12,0
65640,65640,"SE 60th St & 119th Ave SE (EB)",,47.549811,-122.178632,19,0
65490,65490,"SE 60th St & 119th Ave SE (WB)",,47.549808,-122.178551,19,0
65480,65480,"SE 60th St & 123rd Ave SE (WB)",,47.549775,-122.176083,19,0
14961,14961,"61st Ave SW & SW Stevens St (SB)",,47.577518,-122.410709,21,0
14962,14962,"61st Ave SW & SW Admiral Way (SB)",,47.576027,-122.41075,21,0
9110,9110,"62nd Ave S & S Cooper St (SB)",,47.511414,-122.25589,21,0
7950,7950,"62nd Ave S & S Prentice St (SB)",,47.508307,-122.255922,21,0
15652,15652,"63rd Ave SW & Alki Ave SW (NB)",,47.578208,-122.413297,21,0
15651,15651,"63rd Ave SW & SW Admiral Way (NB)",,47.576238,-122.413355,21,0
7980,7980,"64th Ave S & S Cooper St (NB)",,47.511595,-122.253534,21,0
7970,7970,"64th Ave S & S Ryan St (NB)",,47.509652,-122.253558,21,0
37880,37880,"NE 65th St & 49th Ave NE (WB)",,47.675776,-122.27625,21,0
37510,37510,"NE 65th St & Wellesley Way NE (EB)",,47.675776,-122.276954,21,0
16430,16430,"Roosevelt Station - Bay 1 (EB)",,47.675822,-122.316972,21,0
37360,37360,"NE 65th St & 16th Ave NE (EB)",,47.675778,-122.310546,21,0
38020,38020,"NE 65th St & 18th Ave NE (WB)",,47.675795,-122.309032,21,0
38000,38000,"NE 65th St & Ravenna Ave NE (WB)",,47.675773,-122.304092,21,0
37400,37400,"NE 65th St & 23rd Ave NE (EB)",,47.675773,-122.302431,21,0
37990,37990,"NE 65th St & 25th Ave NE (WB)",,47.67577,-122.301263,21,0
37410,37410,"NE 65th St & 25th Ave NE (EB)",,47.675773,-122.300299,21,0
37980,37980,"NE 65th St & 26th Ave NE (WB)",,47.67577,-122.299489,21,0
37440,37440,"NE 65th St & 31st Ave NE (EB)",,47.675784,-122.293982,21,0
